"article";"img_number";"problem";"bid"
"LO10016101:2002_43:8";"281";"Missing reference in file 1";"SBL0420289"
"LO10016101:2002_43:8";"281";"Missing reference in file 1";"CFI0321912"
"RAV0164473:2013_12_2:2";"73";"Missing reference in file 1";"LO10446327"
"RAV0164473:2013_12_2:2";"73";"Missing reference in file 1";"VEA0108135"
"RAV0164473:2013_12_2:2";"75";"Missing reference in file 1";"CFI0022256"
"RAV0164473:2013_12_2:2";"77";"Missing reference in file 1";"UFI0046615"
"RAV0164473:2013_12_2:2";"78";"Missing reference in file 1";"RAV0064098"
"RAV0164473:2013_12_2:2";"80";"Missing reference in file 1";"SBL0037351"
"RAV0164473:2013_12_2:2";"81";"Missing reference in file 1";"MIL0144431"
"RAV0164473:2013_12_2:2";"81";"Missing reference in file 1";"MIL0144431"
"RAV0164473:2013_12_2:2";"82";"Missing page in file 1";""
"RAV0164473:2013_12_2:2";"83";"Missing reference in file 1";"VIA0152604"
"RAV0164473:2013_12_2:2";"93";"Missing reference in file 1";"TSA1071621"
"RAV0164473:2013_12_2:2";"93";"Missing reference in file 1";"PUV0026670"
"RAV0164473:2013_12_2:2";"93";"Missing reference in file 1";"VEA0066369"
"RAV0164473:2013_12_2:2";"93";"Missing reference in file 1";"GEA0015322"
"LO10015953:1986_127:1";"10";"Missing reference in file 1";"SBL0615557"
"LO10015953:1986_127:1";"11";"Missing reference in file 1";"LO10010276"
"LO10015953:1986_127:1";"12";"Missing reference in file 1";"CFI0149347"
"LO10015953:1986_127:1";"12";"Missing reference in file 1";"NAP0034053"
"LO10015953:1986_127:1";"13";"Missing reference in file 1";"NAP0137712"
"LO10015953:1986_127:1";"13";"Missing reference in file 1";"MIL0099382"
"LO10015953:1986_127:1";"14";"Missing reference in file 2";"SBL0126080"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"NAP0075926"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"CUB0032877"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"UBO0353769"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"SBL0340740"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"TO00760690"
"LO10015953:1986_127:1";"14";"Missing reference in file 1";"MIL0063472"
"LO10015953:1986_127:1";"15";"Missing reference in file 1";"LO10016101"
"LO10015953:1986_127:1";"15";"Missing reference in file 1";"UMC0018612"
"LO10015953:1986_127:1";"17";"Missing reference in file 1";"CUB0032860"
"LO10015953:1986_127:1";"20";"Missing reference in file 1";"CFI0016171"
"LO10015953:1986_127:1";"20";"Missing reference in file 1";"LO10016101"
"LO10015953:1986_127:1";"20";"Missing reference in file 1";"CFI0016171"
"LO10015953:1986_127:1";"21";"Missing reference in file 1";"RAV0048534"
"LO10015953:1986_127:1";"21";"Missing reference in file 1";"SBL0598588"
"LO10015953:1986_127:1";"21";"Missing reference in file 1";"BVE0605036"
"LO10015953:1986_127:1";"22";"Missing reference in file 1";"CFI0004326"
"LO10015953:1986_127:1";"22";"Missing reference in file 1";"LO10016952"
"LO10015953:1986_127:1";"22";"Missing reference in file 1";"RAV0147626"
"LO10015953:1986_127:1";"23";"Missing page in file 1";""
"LO10015953:1986_127:1";"24";"Missing reference in file 1";"SBL0222989"
"LO10015953:1986_127:1";"25";"Missing reference in file 1";"RAV0030283"
"LO10015953:1986_127:1";"26";"Missing reference in file 2";"TO01023579"
"LO10015953:1986_127:1";"26";"Missing reference in file 1";"CUB0535913"
"LO10015953:1986_127:1";"26";"Missing reference in file 1";"CUB0221592"
"LO10015953:1986_127:1";"26";"Missing reference in file 1";"RAV0099173"
"LO10015953:1986_127:1";"28";"Missing reference in file 2";"VIA0007637"
"LO10015953:1986_127:1";"28";"Missing reference in file 1";"MIL0035698"
"LO10015953:1986_127:1";"28";"Missing reference in file 1";"NAP0076837"
"LO10015953:1986_127:1";"28";"Missing reference in file 1";"SBL0557592"
"LO10015953:1986_127:1";"29";"Missing reference in file 1";"FER0061433"
"LO10015953:1986_127:1";"30";"Missing reference in file 2";"PUV0514780"
"LO10015953:1986_127:1";"30";"Missing reference in file 2";"RAV0095873"
"LO10015953:1986_127:1";"30";"Missing reference in file 1";"MIL0137472"
"LO10015953:1986_127:1";"30";"Missing reference in file 1";"RAV0095868"
"LO10015953:1986_127:1";"6";"Missing reference in file 1";"CFI0016171"
"LO10015953:1986_127:1";"6";"Missing reference in file 1";"VIA0031948"
"LO10015953:1986_127:1";"6";"Missing reference in file 1";"SBL0315478"
"LO10015953:1986_127:1";"7";"Missing reference in file 2";"LO11086698"
"LO10015953:1986_127:1";"7";"Missing reference in file 1";"CFI0016171"
"LO10015953:1986_127:1";"7";"Missing reference in file 1";"RAV0134249"
"LO10015953:1986_127:1";"7";"Missing reference in file 1";"UPG0016673"
"LO10015953:1986_127:1";"7";"Missing reference in file 1";"PUV0069656"
"LO10015953:1986_127:1";"8";"Missing reference in file 1";"SBL0145643"
"LO10015953:1986_127:1";"8";"Missing reference in file 1";"UFI0339941"
"LO10015953:1986_127:1";"8";"Missing reference in file 1";"RAV0083307"
"LO10015953:1986_127:1";"8";"Missing reference in file 1";"RAV0032369"
"LO10015953:1986_127:1";"8";"Missing reference in file 1";"RAV0132980"
"LO10015953:1986_127:1";"9";"Missing reference in file 1";"CFI0016927"
"LO10015953:1986_127:1";"9";"Missing reference in file 1";"LO10058269"
"LO10015953:1986_127:1";"9";"Missing reference in file 1";"CFI0016171"
"LO10015953:1986_127:1";"9";"Missing reference in file 1";"CFI0016171"
"LO10015953:1971_94:2";"100";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"100";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"100";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"101";"Missing reference in file 2";"RAV0019189"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"RAV0108167"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"CFI0063021"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"RAV0197098"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"LO10077432"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"RAV0068570"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"RAV0197327"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"CFI0391298"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"TO00184833"
"LO10015953:1971_94:2";"101";"Missing reference in file 1";"RAV0164473"
